Question_ID ; Question_Text ; Option_Code ; Option_Label ; Global_Score_Impact ; Category_ID ; Category_Impact
E4.N7.Q2 ; Votre système d'IA est utilisé dans un ou des domaines suivants ? ; E4.N7.Q2.A ; Emploi, gestion des travailleurs et accès à l'emploi indépendant ; -30 ; risk_level ; -45
E4.N7.Q2 ; Votre système d'IA est utilisé dans un ou des domaines suivants ? ; E4.N7.Q2.B ; Administration de la justice et processus démocratiques ; -30 ; risk_level ; -45
E4.N7.Q2 ; Votre système d'IA est utilisé dans un ou des domaines suivants ? ; E4.N7.Q2.C ; Migration, asile et gestion des contrôles aux frontières ; -30 ; risk_level ; -45
E4.N7.Q2 ; Votre système d'IA est utilisé dans un ou des domaines suivants ? ; E4.N7.Q2.D ; Gestion et exploitation des infrastructures critiques ; -30 ; risk_level ; -45
E4.N7.Q2 ; Votre système d'IA est utilisé dans un ou des domaines suivants ? ; E4.N7.Q2.E ; Éducation et formation professionnelle ; -30 ; risk_level ; -45
E4.N7.Q2 ; Votre système d'IA est utilisé dans un ou des domaines suivants ? ; E4.N7.Q2.F ; Activités répressives (risque récidive, fiabilité preuves...) ; -30 ; risk_level ; -45
E4.N7.Q2.1 ; Votre système d'IA est utilisé dans un ou plusieurs des cas suivants ? ; E4.N7.Q2.1.A ; Identification Biométrique à Distance en Temps Réel dans les Espaces Publics ;  ; risk_level ; -80
E4.N7.Q2.1 ; Votre système d'IA est utilisé dans un ou plusieurs des cas suivants ? ; E4.N7.Q2.1.B ; Composant de sécurité dans des secteurs critiques (santé, transports, énergies, etc.) ;  ; risk_level ; -80
E4.N7.Q2.1 ; Votre système d'IA est utilisé dans un ou plusieurs des cas suivants ? ; E4.N7.Q2.1.C ; Évaluations dans un système d'éducation ou en entreprise ;  ; risk_level ; -80
E4.N7.Q2.1 ; Votre système d'IA est utilisé dans un ou plusieurs des cas suivants ? ; E4.N7.Q2.1.D ; Accès et jouissance de services essentiels privés et publics ;  ; risk_level ; -80
