mayday_model_id,mayday_provider,mayday_model_name,eco_provider,eco_model_resolved,eco_status,eco_total_params,eco_active_params_min,eco_active_params_max,eco_warnings
bdc0e99f-6657-46cb-b3e4-ae632e9fd4ca,Alibaba (Qwen),qwen-1.5-72b-chat,,,not_covered,,,,
e6e74ba3-91b7-43d8-9303-d86e55dd600f,Alibaba (Qwen),qwen2.5-14b-instruct,,,not_covered,,,,
32eb763f-b1e9-4d02-b273-a82f0cbbb605,Alibaba (Qwen),qwen2.5-32b-instruct,,,not_covered,,,,
58a76f7c-77f0-4e48-ad82-a9c18bea253a,Alibaba (Qwen),qwen2.5-72b-instruct,,,not_covered,,,,
f47b12fc-07c2-4d23-9706-ee0c2c9bb285,Alibaba (Qwen),qwen2.5-vl-32b-instruct,,,not_covered,,,,
c53b06ab-9723-4761-8f09-900a9e553fc5,Alibaba (Qwen),qwen3-235b-a22b,,,not_covered,,,,
8295a5b0-c535-4025-9017-9820d2b2c962,Alibaba (Qwen),qwen3-30b-a3b,,,not_covered,,,,
85325d32-e37a-44c4-9877-0e292b552fd1,Alibaba (Qwen),qwen3-32b,,,not_covered,,,,
51d08fff-fae2-4f9a-b9f2-4c7a91be92ea,Alibaba (Qwen),Qwen 3.5,,,not_covered,,,,
5e6e629a-0fec-4619-b3d6-59f83fba6ac0,Alibaba (Qwen),Qwen 3.6,,,not_covered,,,,
d655e3d2-165f-43c3-84a6-b1f7fb3d4842,Alibaba (Qwen),qwen3-next-80b-a3b,,,not_covered,,,,
eee0257a-d799-4a63-884e-51760c4c55fc,Alibaba (Qwen),qwen3-vl-30b-a3b,,,not_covered,,,,
29cfdff2-d0fb-48d4-835f-66b29dd82d35,Alibaba (Qwen),qwen3-vl-32b,,,not_covered,,,,
21ee73db-b03d-4610-9b84-26e2a187769b,Alibaba (Qwen),qwen3-vl-4b-thinking,,,not_covered,,,,
623b74f3-eb36-4348-baad-2a47fb776d7c,Alibaba (Qwen),qwen3-vl-8b-thinking,,,not_covered,,,,
a4c7c173-27bf-4d36-b1e0-5cf42e9f6acc,Alibaba (Qwen),qwq-32b,,,not_covered,,,,
87dc4c7d-57bc-4d54-80a4-4a25b5c9ab5c,Anthropic,claude-haiku-4.5,anthropic,claude-haiku-4-5,covered,35,,,"model-arch-not-released:The model architecture has not been released, expect lower precision."
e5b5f006-cf5a-4979-ba49-74d3c1609d5c,Anthropic,claude-opus-3,anthropic,,not_covered,,,,
