eco_provider,statut,eco_name,maydai_slug,anomalie_detectee
anthropic,proposition,claude-haiku-4-5-20251001,claude-haiku-4-5,
anthropic,proposition,claude-opus-4-1-20250805,claude-opus-4-1,
anthropic,proposition,claude-opus-4-5-20251101,claude-opus-4-5,
anthropic,proposition,claude-sonnet-4-0,claude-sonnet-4,
anthropic,proposition,claude-sonnet-4-5-20250929,claude-sonnet-4-5,
anthropic,plusieurs_candidats,claude-opus-4-20250514,claude-opus-4,
anthropic,plusieurs_candidats,claude-sonnet-4-20250514,claude-sonnet-4,
openai,proposition,chat-latest,chatgpt-4o-latest,
openai,proposition,gpt-3.5-turbo-0125,gpt-3-5-turbo,
openai,proposition,gpt-3.5-turbo-1106,gpt-3-5-turbo,
openai,proposition,gpt-3.5-turbo-16k,gpt-3-5-turbo,
openai,proposition,gpt-3.5-turbo-instruct,gpt-3-5-turbo-instruct,
openai,proposition,gpt-3.5-turbo-instruct-0914,gpt-3-5-turbo-instruct,
openai,proposition,gpt-35-turbo,gpt-3-5-turbo,
openai,proposition,gpt-35-turbo-0125,gpt-3-5-turbo,
openai,proposition,gpt-35-turbo-1106,gpt-3-5-turbo,
openai,proposition,gpt-35-turbo-16k,gpt-3-5-turbo,
openai,proposition,gpt-35-turbo-instruct,gpt-3-5-turbo-instruct,
openai,proposition,gpt-35-turbo-instruct-0914,gpt-3-5-turbo-instruct,
openai,proposition,gpt-4-0613,gpt-4,
openai,proposition,gpt-4-turbo-2024-04-09,gpt-4-turbo,
openai,proposition,gpt-4.1-2025-04-14,gpt-4-1,
openai,proposition,gpt-4.1-mini-2025-04-14,gpt-4-1-mini,
openai,proposition,gpt-4.1-nano-2025-04-14,gpt-4-1-nano,
openai,proposition,gpt-4o-2024-05-13,gpt-4o,
openai,proposition,gpt-4o-2024-08-06,gpt-4o,
openai,proposition,gpt-4o-2024-11-20,gpt-4o,
openai,proposition,gpt-4o-mini-2024-07-18,gpt-4o-mini,
openai,proposition,gpt-5-2025-08-07,gpt-5,
openai,proposition,gpt-5-chat-latest,gpt-5,
openai,proposition,gpt-5-mini-2025-08-07,gpt-5-mini,
openai,proposition,gpt-5-nano-2025-08-07,gpt-5-nano,
openai,proposition,gpt-5-pro,gpt-5,
openai,proposition,gpt-5-pro-2025-10-06,gpt-5,
openai,proposition,gpt-5-search-api,gpt-5,
openai,proposition,gpt-5-search-api-2025-10-14,gpt-5,
openai,proposition,gpt-5.1-2025-11-13,gpt-5-1,
openai,proposition,gpt-5.2-2025-12-11,gpt-5-2,
openai,proposition,gpt-5.2-pro-2025-12-11,gpt-5-2-pro,
openai,proposition,gpt-5.3-chat-latest,gpt-5-3-chat,
openai,proposition,gpt-5.4-2026-03-05,gpt-5-4,
openai,proposition,gpt-5.4-mini-2026-03-17,gpt-5-4-mini,
openai,proposition,gpt-5.4-nano-2026-03-17,gpt-5-4-nano,
openai,proposition,gpt-5.5-2026-04-23,gpt-5-5,
openai,proposition,gpt-5.5-pro-2026-04-23,gpt-5-5-pro,
openai,proposition,o1-2024-12-17,o1,
openai,proposition,o3-mini-2025-01-31,o3-mini,
openai,proposition,o4-mini-2025-04-16,o4-mini,
openai,proposition,o4-mini-deep-research,o4-mini,
openai,proposition,o4-mini-deep-research-2025-06-26,o4-mini,
openai,plusieurs_candidats,gpt-4o-mini-search-preview,gpt-4,
openai,plusieurs_candidats,gpt-4o-mini-search-preview-2025-03-11,gpt-4,
openai,plusieurs_candidats,gpt-4o-mini-transcribe,gpt-4,
openai,plusieurs_candidats,gpt-4o-mini-transcribe-2025-03-20,gpt-4,
openai,plusieurs_candidats,gpt-4o-mini-transcribe-2025-12-15,gpt-4,
openai,plusieurs_candidats,gpt-4o-mini-tts,gpt-4,
openai,plusieurs_candidats,gpt-4o-mini-tts-2025-03-20,gpt-4,
openai,plusieurs_candidats,gpt-4o-mini-tts-2025-12-15,gpt-4,
openai,plusieurs_candidats,gpt-4o-search-preview,gpt-4,
openai,plusieurs_candidats,gpt-4o-search-preview-2025-03-11,gpt-4,
openai,plusieurs_candidats,gpt-5.1-chat-latest,gpt-5-1,
openai,plusieurs_candidats,gpt-5.1-codex-max,gpt-5-1-codex,
openai,plusieurs_candidats,gpt-5.2-chat-latest,gpt-5-2,
openai,plusieurs_candidats,gpt-5.4-pro,gpt-5-4-pro,
openai,plusieurs_candidats,gpt-5.4-pro-2026-03-05,gpt-5-4-pro,
