eco_provider,statut,eco_name,maydai_slug,anomalie_detectee
huggingface_hub,proposition,meta-llama/Llama-2-13b,llama-2,
huggingface_hub,proposition,meta-llama/Llama-2-13b-chat,llama-2,
huggingface_hub,proposition,meta-llama/Llama-2-13b-chat-hf,llama-2,
huggingface_hub,proposition,meta-llama/Llama-2-13b-hf,llama-2,
huggingface_hub,proposition,meta-llama/Llama-2-7b,llama-2,
huggingface_hub,proposition,meta-llama/Llama-2-7b-chat,llama-2,
huggingface_hub,proposition,meta-llama/Llama-2-7b-chat-hf,llama-2,
huggingface_hub,proposition,meta-llama/Llama-2-7b-hf,llama-2,
huggingface_hub,proposition,meta-llama/Llama-Guard-3-8B,llama-guard-3-8b,
huggingface_hub,proposition,meta-llama/Llama-Guard-3-8B-INT8,llama-guard-3-8b,
huggingface_hub,proposition,meta-llama/Meta-Llama-3-8B,llama-3-1-8b-instruct,
huggingface_hub,proposition,meta-llama/Meta-Llama-3-8B-Instruct,llama-3-1-8b-instruct,
huggingface_hub,proposition,meta-llama/Meta-Llama-3.1-405B,llama-3-1-405b-instruct,
huggingface_hub,proposition,meta-llama/Meta-Llama-3.1-405B-FP8,llama-3-1-405b-instruct,
huggingface_hub,proposition,meta-llama/Meta-Llama-3.1-405B-Instruct,llama-3-1-405b-instruct,
huggingface_hub,proposition,meta-llama/Meta-Llama-3.1-405B-Instruct-FP8,llama-3-1-405b-instruct,
huggingface_hub,proposition,meta-llama/Meta-Llama-3.1-8B,llama-3-1-8b-instruct,
huggingface_hub,proposition,meta-llama/Meta-Llama-3.1-8B-Instruct,llama-3-1-8b-instruct,
huggingface_hub,proposition,meta-llama/Meta-Llama-Guard-2-8B,llama-guard-2-8b,
huggingface_hub,plusieurs_candidats,meta-llama/Llama-2-70b,llama-2,
huggingface_hub,plusieurs_candidats,meta-llama/Llama-2-70b-chat,llama-2,
huggingface_hub,plusieurs_candidats,meta-llama/Llama-2-70b-chat-hf,llama-2,
huggingface_hub,plusieurs_candidats,meta-llama/Llama-2-70b-hf,llama-2,
huggingface_hub,plusieurs_candidats,meta-llama/Meta-Llama-3-70B,llama-3-1-70b-instruct,
huggingface_hub,plusieurs_candidats,meta-llama/Meta-Llama-3-70B-Instruct,llama-3-1-70b-instruct,
huggingface_hub,plusieurs_candidats,meta-llama/Meta-Llama-3.1-70B,llama-3-1-70b-instruct,
huggingface_hub,plusieurs_candidats,meta-llama/Meta-Llama-3.1-70B-Instruct,llama-3-1-70b-instruct,
huggingface_hub,proposition,meta-llama/Prompt-Guard-86M,prompt-guard-86m,
huggingface_hub,proposition,meta-llama/CodeLlama-13b-Instruct-hf,code-llama-13b,
huggingface_hub,proposition,meta-llama/CodeLlama-13b-Python-hf,code-llama-13b,
huggingface_hub,proposition,meta-llama/CodeLlama-13b-hf,code-llama-13b,
huggingface_hub,proposition,meta-llama/CodeLlama-34b-Instruct-hf,code-llama-34b,
huggingface_hub,proposition,meta-llama/CodeLlama-34b-Python-hf,code-llama-34b,
huggingface_hub,proposition,meta-llama/CodeLlama-34b-hf,code-llama-34b,
huggingface_hub,proposition,meta-llama/CodeLlama-70b-Instruct-hf,code-llama-70b,
huggingface_hub,proposition,meta-llama/CodeLlama-70b-Python-hf,code-llama-70b,
huggingface_hub,proposition,meta-llama/CodeLlama-70b-hf,code-llama-70b,
huggingface_hub,proposition,meta-llama/CodeLlama-7b-Instruct-hf,code-llama-7b,
huggingface_hub,proposition,meta-llama/CodeLlama-7b-Python-hf,code-llama-7b,
huggingface_hub,proposition,meta-llama/CodeLlama-7b-hf,code-llama-7b,
huggingface_hub,proposition,meta-llama/LlamaGuard-7b,llama-guard-1-7b,
