eco_provider,statut,eco_name,maydai_slug,anomalie_detectee
cohere,proposition,command-a-03-2025,command-a,
cohere,proposition,command-a-plus-05-2026,command-a,
cohere,proposition,command-a-reasoning-08-2025,command-a,
cohere,proposition,command-a-translate-08-2025,command-a,
cohere,proposition,command-a-vision-07-2025,command-a,
cohere,proposition,command-r-08-2024,command-r,
cohere,proposition,command-r-plus-08-2024,command-r,
cohere,proposition,command-r7b-12-2024,command-r,
cohere,proposition,command-r7b-arabic-02-2025,command-r,
cohere,proposition,c4ai-aya-expanse-32b,aya-expanse-32b,
cohere,proposition,c4ai-aya-vision-32b,aya-vision-32b,
huggingface_hub,proposition,CohereForAI/c4ai-command-r-plus,command-r,
huggingface_hub,proposition,CohereForAI/c4ai-command-r-plus-4bit,command-r,
huggingface_hub,proposition,CohereForAI/c4ai-command-r-v01,command-r,
huggingface_hub,proposition,CohereForAI/c4ai-command-r-v01-4bit,command-r,
huggingface_hub,proposition,google/gemma-2-27b,gemma-2-27b,
huggingface_hub,proposition,google/gemma-2-27b-it,gemma-2-27b,
huggingface_hub,proposition,google/gemma-2-27b-it-pytorch,gemma-2-27b,
huggingface_hub,proposition,google/gemma-2-27b-pytorch,gemma-2-27b,
huggingface_hub,proposition,google/gemma-2-9b,gemma-2-9b,
huggingface_hub,proposition,google/gemma-2-9b-it,gemma-2-9b,
huggingface_hub,proposition,google/gemma-2-9b-it-pytorch,gemma-2-9b,
huggingface_hub,proposition,google/gemma-2-9b-keras,gemma-2-9b,
huggingface_hub,proposition,google/gemma-2-9b-pytorch,gemma-2-9b,
huggingface_hub,proposition,google/gemma-2-instruct-9b-keras,gemma-2-9b,
huggingface_hub,proposition,microsoft/Phi-3-mini-128k-instruct,phi-3-mini,
huggingface_hub,proposition,microsoft/Phi-3-mini-128k-instruct-onnx,phi-3-mini,
huggingface_hub,proposition,microsoft/Phi-3-mini-4k-instruct,phi-3-mini,
huggingface_hub,proposition,microsoft/Phi-3-mini-4k-instruct-gguf,phi-3-mini,
huggingface_hub,proposition,microsoft/Phi-3-mini-4k-instruct-onnx,phi-3-mini,
huggingface_hub,proposition,microsoft/Phi-3-mini-4k-instruct-onnx-web,phi-3-mini,
huggingface_hub,proposition,microsoft/Phi-3-vision-128k-instruct,phi-3-vision,
huggingface_hub,proposition,microsoft/Phi-3-vision-128k-instruct-onnx-cpu,phi-3-vision,
huggingface_hub,proposition,microsoft/Phi-3-vision-128k-instruct-onnx-cuda,phi-3-vision,
huggingface_hub,proposition,microsoft/Phi-3-vision-128k-instruct-onnx-directml,phi-3-vision,
huggingface_hub,proposition,microsoft/phi-1_5,phi-3-5-moe-instruct,
huggingface_hub,proposition,mistral-community/Codestral-22B-v0.1,codestral-22b,
huggingface_hub,proposition,mistralai/Codestral-22B-v0.1,codestral-22b,
