statut,confiance,a_valider,eco_provider,eco_name,eco_id,maydai_id,maydai_provider,maydai_name,maydai_slug,methode,autres_candidats,action,commentaire
proposition,haute,OUI,huggingface_hub,mistral-community/Codestral-22B-v0.1,490fe08b-2c77-43f9-95b8-b921f6313cd7,4b8d1e66-54e3-42bb-948d-878f304ed443,Mistral,Codestral-22B,codestral-22b,slug_partiel,"Mistral / mistral-7b-instruct-v0.2 [0e1f3603…] (famille_taille_differente, 28) || Mistral / mistral-7b-v0.3 [f62d2ec4…] (famille_taille_differente, 28)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche."
proposition,haute,OUI,huggingface_hub,mistralai/Codestral-22B-v0.1,772dbef8-29c5-4967-8ee8-a9dcf0592117,4b8d1e66-54e3-42bb-948d-878f304ed443,Mistral,Codestral-22B,codestral-22b,slug_partiel,"Mistral / mistral-7b-instruct-v0.2 [0e1f3603…] (famille_taille_differente, 28) || Mistral / mistral-7b-v0.3 [f62d2ec4…] (famille_taille_differente, 28)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche."
proposition,haute,OUI,huggingface_hub,mistralai/Mistral-7B-Instruct-v0.2,1cb4cb59-455d-40ec-a699-0037e365363e,0e1f3603-f6cf-4df1-9a15-d4f1a9914c24,Mistral,mistral-7b-instruct-v0.2,mistral-7b-instruct-v0-2,exact_normalise,"Mistral / mistral-7b-v0.3 [f62d2ec4…] (famille_taille, 79) || Mistral / Mistral Large 2 [e1bd2070…] (famille, 56) || Mistral / Mistral Large 3 (675B Base) [dfaa8b19…] (famille_taille_differente, 28) || Mistral / Mistral Large 3 (675B Instruct 2512 Eagle) [9af2a0cd…] (famille_taille_differente, 28)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche."
proposition,haute,OUI,huggingface_hub,mistralai/Mistral-7B-v0.3,c7d441f8-6d08-4f0f-8ad4-6aaaed547239,f62d2ec4-bea7-44c1-91bf-7de043855541,Mistral,mistral-7b-v0.3,mistral-7b-v0-3,exact_normalise,"Mistral / mistral-7b-instruct-v0.2 [0e1f3603…] (famille_taille, 80) || Mistral / Mistral Large 3 [31943c36…] (famille, 56) || Mistral / Mistral Large 3 (675B Base) [dfaa8b19…] (famille_taille_differente, 28) || Mistral / Mistral Large 3 (675B Instruct 2512 Eagle) [9af2a0cd…] (famille_taille_differente, 28)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche."
proposition,moyenne,OUI,huggingface_hub,mistralai/Mistral-Large-Instruct-2407,0e803c5f-c6ff-4362-92a7-b26cdaa58ca2,e1bd2070-b5a1-48bf-a53d-cbebfb11fc20,Mistral,Mistral Large 2,mistral-large-2,famille,"Mistral / Mistral Large 3 [31943c36…] (famille, 56) || Mistral / Mistral Large 3 (675B Base) [dfaa8b19…] (famille, 55) || Mistral / mistral-large-3-675b [13de2df2…] (famille, 50)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche."
proposition,moyenne,OUI,huggingface_hub,mistralai/Mistral-Nemo-Base-2407,68a3ab77-03f0-4572-a415-0068de396c69,44a9246e-4940-4dd4-964d-ad8341c2072f,Mistral,Mistral NeMo Instruct,mistral-nemo-instruct,famille,,,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche."
proposition,haute,OUI,huggingface_hub,mistralai/Mistral-Nemo-Instruct-2407,60d31c5d-29bc-4b49-bb0c-dc71c100e878,44a9246e-4940-4dd4-964d-ad8341c2072f,Mistral,Mistral NeMo Instruct,mistral-nemo-instruct,slug,,,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche."
plusieurs_candidats,moyenne,OUI,huggingface_hub,mistral-community/Mistral-7B-Instruct-v0.3,edc937f9-78fc-403c-9d5c-8ccb535a27c3,0e1f3603-f6cf-4df1-9a15-d4f1a9914c24,Mistral,mistral-7b-instruct-v0.2,mistral-7b-instruct-v0-2,famille_taille,"Mistral / mistral-7b-v0.3 [f62d2ec4…] (famille_taille, 79) || Mistral / Mistral Large 3 [31943c36…] (famille, 56) || Mistral / Mistral Large 3 (675B Base) [dfaa8b19…] (famille_taille_differente, 28) || Mistral / Mistral Large 3 (675B Instruct 2512 Eagle) [9af2a0cd…] (famille_taille_differente, 28)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche. Plusieurs fiches MaydAI possibles : choisir celle du produit (souvent Instruct, pas Base)."
plusieurs_candidats,moyenne,OUI,huggingface_hub,mistral-community/Mistral-7B-v0.2,663ab439-d1d5-40e9-ba9f-546746dd4cfc,0e1f3603-f6cf-4df1-9a15-d4f1a9914c24,Mistral,mistral-7b-instruct-v0.2,mistral-7b-instruct-v0-2,famille_taille,"Mistral / mistral-7b-v0.3 [f62d2ec4…] (famille_taille, 79) || Mistral / Mistral Large 2 [e1bd2070…] (famille, 56) || Mistral / Mistral Large 3 (675B Base) [dfaa8b19…] (famille_taille_differente, 28) || Mistral / Mistral Large 3 (675B Instruct 2512 Eagle) [9af2a0cd…] (famille_taille_differente, 28)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche. Plusieurs fiches MaydAI possibles : choisir celle du produit (souvent Instruct, pas Base)."
plusieurs_candidats,moyenne,OUI,huggingface_hub,mistralai/Mistral-7B-Instruct-v0.1,c517bf10-355b-49a8-a8bc-dffd2dc7a249,0e1f3603-f6cf-4df1-9a15-d4f1a9914c24,Mistral,mistral-7b-instruct-v0.2,mistral-7b-instruct-v0-2,famille_taille,"Mistral / mistral-7b-v0.3 [f62d2ec4…] (famille_taille, 79) || Mistral / Mistral Large 3 (675B Base) [dfaa8b19…] (famille_taille_differente, 28) || Mistral / Mistral Large 3 (675B Instruct 2512 Eagle) [9af2a0cd…] (famille_taille_differente, 28) || Mistral / Mistral Large 3 (675B Instruct 2512 NVFP4) [4d21ab95…] (famille_taille_differente, 28)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche. Plusieurs fiches MaydAI possibles : choisir celle du produit (souvent Instruct, pas Base)."
plusieurs_candidats,moyenne,OUI,huggingface_hub,mistralai/Mistral-7B-Instruct-v0.3,5685419e-a06d-4f80-8144-43191a804e86,0e1f3603-f6cf-4df1-9a15-d4f1a9914c24,Mistral,mistral-7b-instruct-v0.2,mistral-7b-instruct-v0-2,famille_taille,"Mistral / mistral-7b-v0.3 [f62d2ec4…] (famille_taille, 79) || Mistral / Mistral Large 3 [31943c36…] (famille, 56) || Mistral / Mistral Large 3 (675B Base) [dfaa8b19…] (famille_taille_differente, 28) || Mistral / Mistral Large 3 (675B Instruct 2512 Eagle) [9af2a0cd…] (famille_taille_differente, 28)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche. Plusieurs fiches MaydAI possibles : choisir celle du produit (souvent Instruct, pas Base)."
plusieurs_candidats,moyenne,OUI,huggingface_hub,mistralai/Mistral-7B-v0.1,926c2789-1b03-4a5b-8839-eb3f92e512f9,0e1f3603-f6cf-4df1-9a15-d4f1a9914c24,Mistral,mistral-7b-instruct-v0.2,mistral-7b-instruct-v0-2,famille_taille,"Mistral / mistral-7b-v0.3 [f62d2ec4…] (famille_taille, 79) || Mistral / Mistral Large 3 (675B Base) [dfaa8b19…] (famille_taille_differente, 28) || Mistral / Mistral Large 3 (675B Instruct 2512 Eagle) [9af2a0cd…] (famille_taille_differente, 28) || Mistral / Mistral Large 3 (675B Instruct 2512 NVFP4) [4d21ab95…] (famille_taille_differente, 28)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche. Plusieurs fiches MaydAI possibles : choisir celle du produit (souvent Instruct, pas Base)."
famille_a_confirmer,basse,OUI,huggingface_hub,mistral-community/Mixtral-8x22B-Instruct-v0.1-4bit,eb76b69e-9d65-4306-b2b5-2eb12fa4b70f,,,,,famille_taille_differente,"Mistral / mistral-7b-instruct-v0.2 [0e1f3603…] (famille_taille_differente, 28) || Mistral / mistral-7b-v0.3 [f62d2ec4…] (famille_taille_differente, 28)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche. Pas d’équivalent de même taille dans MaydAI. autres_candidats = même famille seulement (ex. Gemma 7B vs Gemma 2 9B), à trancher à la main."
famille_a_confirmer,basse,OUI,huggingface_hub,mistral-community/Mixtral-8x22B-v0.1,40d5580f-648b-4ca1-93ec-5dcce23b4db6,,,,,famille_taille_differente,"Mistral / mistral-7b-instruct-v0.2 [0e1f3603…] (famille_taille_differente, 28) || Mistral / mistral-7b-v0.3 [f62d2ec4…] (famille_taille_differente, 28)",,"Poids Hugging Face : plusieurs formats (GGUF, PyTorch…) = souvent la même fiche. Pas d’équivalent de même taille dans MaydAI. autres_candidats = même famille seulement (ex. Gemma 7B vs Gemma 2 9B), à trancher à la main."
